Tumorname	Name	MBIIscore
BLCA	BLCA-A9R1-01A	0.16897578
BLCA	BLCA-A9R2-01A	0.097855628
BLCA	BLCA-A9R3-01A	0.170840279
BLCA	BLCA-A9R4-01A	0.092100491
BLCA	BLCA-A9R5-01A	0.064695617
BLCA	BLCA-A9R7-01A	0.310084532
BLCA	BLCA-A9R9-01A	0.06321815
BLCA	BLCA-A9RC-01A	0.195135842
BLCA	BLCA-A9RD-01A	0.402623778
BLCA	BLCA-A9RE-01A	0.180788153
BLCA	BLCA-A9RF-01A	0.387741467
BLCA	BLCA-A9RG-01A	0.552243242
BLCA	BLCA-A9RL-01A	0.059144683
BLCA	BLCA-A9RM-01A	0.039531828
BLCA	BLCA-A9RN-01A	0.131494695
BLCA	BLCA-AA4N-01A	0.289941472
BLCA	BLCA-AA4R-01A	0.127039464
BLCA	BLCA-AA4T-01A	0.285788929
BLCA	BLCA-AA4U-01A	0.054339946
BLCA	BLCA-AA4V-01A	0.208553133
BLCA	BLCA-AA4W-01A	0.55253144
BLCA	BLCA-AA4X-01A	0.194211714
BLCA	BLCA-AA51-01A	0.321876847
BLCA	BLCA-AA52-01A	0.292600296
BLCA	BLCA-AA53-01A	0.498490911
BLCA	BLCA-AA54-01A	0.370538962
BLCA	BLCA-AA56-01A	0.414930792
BLCA	BLCA-AA58-01A	0.503051196
BLCA	BLCA-AA5H-01A	0.25070492
BLCA	BLCA-AA5N-01A	0.223563019
BLCA	BLCA-AA5P-01A	0.518820091
BRCA	BRCA-AAAU-01A	0.098613055
BRCA	BRCA-AALI-01A	0.225070021
BRCA	BRCA-AALJ-01A	0.261700026
BRCA	BRCA-AALK-01A	0.238047012
BRCA	BRCA-AAAK-01A	0.146106708
BRCA	BRCA-AAT0-01A	0.263998153
BRCA	BRCA-AAT1-01A	0.38979048
BRCA	BRCA-A9QA-01A	0.095336225
BRCA	BRCA-A0SB-01A	0.02126578
BRCA	BRCA-A0SD-01A	0.130779309
BRCA	BRCA-A0SE-01A	0.115722782
BRCA	BRCA-A0SF-01A	0.250214821
BRCA	BRCA-A0SG-01A	0.264076831
BRCA	BRCA-A0SH-01A	0.170732268
BRCA	BRCA-A0SI-01A	0.254335261
BRCA	BRCA-A0SJ-01A	0.128156392
BRCA	BRCA-A0SK-01A	0.023243853
BRCA	BRCA-A0SM-01A	0.144645188
BRCA	BRCA-A0SN-01A	0.284592889
BRCA	BRCA-A0SO-01A	0.061269496
BRCA	BRCA-A0SP-01A	0.344569939
BRCA	BRCA-A0SQ-01A	0.102822816
BRCA	BRCA-A04N-01A	0.113711708
BRCA	BRCA-A04P-01A	0.257094086
BRCA	BRCA-A04Q-01A	0.658348119
BRCA	BRCA-A04R-01A	0.052686004
BRCA	BRCA-A04T-01A	0.238086735
BRCA	BRCA-A04U-01A	0.04014199
BRCA	BRCA-A04V-01A	0.073413919
BRCA	BRCA-A04W-01A	0.220655987
BRCA	BRCA-A04X-01A	0.383920524
BRCA	BRCA-A04Y-01A	0.266467661
BRCA	BRCA-A0CK-01A	0.144768114
BRCA	BRCA-A0CL-01A	0.683903285
BRCA	BRCA-A0CM-01A	0.334041369
BRCA	BRCA-A0CO-01A	0.269042428
BRCA	BRCA-A0CP-01A	0.160660873
BRCA	BRCA-A0CQ-01A	0.120545696
BRCA	BRCA-A0CR-01A	0.535440503
